ウォータークーラー,tfidf
こと,0.24882200800029364
購入,0.23662485074537729
使用,0.23418541929439401
リットル,0.20374205305369625
よう,0.19027565317669515
ボトル,0.16934297581946486
水筒,0.15135123941131723
商品,0.1414870241570297
バケツ,0.13388763486385752
the,0.1327282622325661
お湯,0.12909503110469758
ため,0.12441100400014682
保冷,0.12080242947061261
ペットボトル,0.11060282880057795
冷水,0.11060282880057795
麦茶,0.11060282880057795
タンク,0.10630613793413908
ポンプ,0.10630613793413908
お茶,0.10147404075531458
ホース,0.09912759560163797
water,0.09664194357649009
タイプ,0.0926983951373643
ところ,0.09025896368638103
洗浄,0.08606335406979838
もの,0.08538010078441449
これ,0.08294066933343122
ウォーター,0.08214565204001657
カップ,0.08214565204001657
コップ,0.0814968212214785
そう,0.08050123788244794
キャンプ,0.07889140789731519
キン,0.07889140789731519
時間,0.07806180643146467
水槽,0.07731355486119207
浄水,0.07567561970565861
温水,0.07567561970565861
サイズ,0.0756223749804814
便利,0.07465964750581842
こちら,0.07318294352949813
サーバー,0.07248145768236756
冷蔵庫,0.07248145768236756
漏れ,0.0702153802178269
水道,0.06985441818983872
給水,0.06985441818983872
高圧,0.06985441818983872
to,0.06636413111628305
relay,0.06403321667401882
必要,0.06342521772556504
飲み物,0.06281726332471856
ml,0.06195474725102373
電源,0.059683030781717675
10,0.058546354823598504
問題,0.058546354823598504
クーラー,0.05821201515819893
ビール,0.05821201515819893
水圧,0.05821201515819893
is,0.05806861472674767
this,0.05806861472674767
and,0.05530344259690254
製品,0.05366749192163196
説明,0.05366749192163196
キャップ,0.05340060648890528
ロック,0.05340060648890528
温度,0.05340060648890528
飲料,0.05239081364237903
それ,0.05122806047064869
本体,0.05122806047064869
簡単,0.05122806047064869
冷却,0.04956379780081899
部分,0.04878862901966542
常温,0.04832097178824504
フタ,0.0471181821960929
耐久,0.0471181821960929
usb,0.04661765012114079
filter,0.04656961212655914
プラティパス,0.04656961212655914
熱湯,0.04656961212655914
粉末,0.04656961212655914
two,0.045433481317417396
on,0.04397697004968671
コロナ,0.04397697004968671
非常,0.04390976611769888
ベランダ,0.04348887460942054
we,0.04303167703489919
容量,0.0414775819476769
レビュー,0.04147033466671561
交換,0.04147033466671561
活躍,0.040835757903280506
switch,0.04074841061073925
ケルヒャー,0.04074841061073925
水量,0.04074841061073925
部活,0.04074841061073925
野球,0.04074841061073925
とき,0.039030903215732334
メーカー,0.039030903215732334
以上,0.039030903215732334
残念,0.039030903215732334
機能,0.03871240981783178
乾燥,0.037694545756874316
あと,0.03659147176474906
コンパクト,0.03659147176474906
デザイン,0.03659147176474906
値段,0.03659147176474906
写真,0.03659147176474906
場所,0.03659147176474906
大変,0.03659147176474906
状態,0.03659147176474906
程度,0.03659147176474906
not,0.03594723768798665
夏場,0.03585973086241599
dispenser,0.03492720909491936
ザック,0.03492720909491936
加湿,0.03492720909491936
as,0.034553333610468126
付属,0.03415204031376579
対応,0.03415204031376579
感じ,0.03415204031376579
自分,0.03415204031376579
サー,0.03382468025177153
モス,0.03382468025177153
取っ手,0.03382468025177153
循環,0.03382468025177153
収納,0.03318206555814152
自動,0.03318206555814152
設定,0.03318206555814152
重宝,0.03318206555814152
匂い,0.033042531867212656
持ち運び,0.032273757776174396
for,0.03171260886278252
最初,0.03171260886278252
are,0.030416893428296395
ボタン,0.030416893428296395
it,0.029273177411799252
セット,0.029273177411799252
可能,0.029273177411799252
子供,0.029273177411799252
心配,0.029273177411799252
満足,0.029273177411799252
filters,0.029106007579099466
single,0.029106007579099466
スポーツドリンク,0.029106007579099466
ドリンク,0.029106007579099466
広口,0.029106007579099466
炎天下,0.029106007579099466
茶こし,0.029106007579099466
蛇口,0.029106007579099466
アイリス,0.028992583072947026
スティック,0.028992583072947026
ポット,0.028992583072947026
網戸,0.028992583072947026
キープ,0.028912215383811075
保温,0.028912215383811075
手入れ,0.028912215383811075
解除,0.028687784689932796
息子,0.028270909317655735
掃除,0.028270909317655735
in,0.02765172129845127
my,0.02765172129845127
that,0.02765172129845127
with,0.02765172129845127
固定,0.02765172129845127
amazon,0.02683374596081598
十分,0.02683374596081598
汚れ,0.02683374596081598
注意,0.02683374596081598
ゴム,0.025129697171249545
アルミ,0.0251018116036912
容器,0.0251018116036912
重量,0.0251018116036912
12,0.024886549168606144
梱包,0.024886549168606144
コーヒー,0.024781898900409494
充電,0.024781898900409494
水滴,0.024781898900409494
20,0.02439431450983271
以前,0.02439431450983271
使い勝手,0.02439431450983271
期待,0.02439431450983271
確認,0.02439431450983271
自体,0.02439431450983271
面倒,0.02439431450983271
エアコン,0.02416048589412252
カリ,0.02416048589412252
サーモス,0.02416048589412252
ミスト,0.02416048589412252
卓上,0.02416048589412252
補給,0.02416048589412252
avalon,0.02328480606327957
circuit,0.02328480606327957
yeti,0.02328480606327957
アイリスオーヤマ,0.02328480606327957
アルカリ,0.02328480606327957
ピッチャー,0.02328480606327957
パワー,0.022121377038761016
丁寧,0.022121377038761016
内部,0.022121377038761016
手間,0.022121377038761016
機械,0.022121377038761016
目的,0.022121377038761016
設置,0.022121377038761016
スペース,0.021988485024843355
パック,0.021988485024843355
