スマートフォン,tfidf
sim,0.3071284576322705
充電,0.20528396219227968
認証,0.20252673655461317
購入,0.19772100911088594
画面,0.19575515660850742
使用,0.18186602253123943
アプリ,0.1800182437686145
カメラ,0.16863218829928855
バッテリー,0.159035234493638
スマホ,0.15612374453439243
問題,0.15202134191072833
こと,0.1492234031025554
設定,0.1342623457202393
よう,0.12124401502082628
指紋,0.11572956374549323
端末,0.11053751810353521
ゲーム,0.10693748526296347
起動,0.10530254174794779
スマ,0.10448281364993954
通話,0.10237615254409016
これ,0.09979315082483393
android,0.09606547668233834
カード,0.09606547668233834
zenfone,0.09569944694338864
機種,0.09487519860166924
gb,0.09347387840982146
楽天,0.0812861725773632
対応,0.08020757916762354
ため,0.07554434782066868
スペック,0.07389652052487565
モバイル,0.07129165684197565
もの,0.07088111647371383
機能,0.06977413242154168
性能,0.06901582393493189
apn,0.06676705600701532
iphone,0.06580768323874675
pro,0.06465945545926619
the,0.06448821329869761
and,0.0634310294741288
写真,0.06341994631858605
sd,0.062315918939880977
ところ,0.06062200751041314
価格,0.058756714971631194
bv,0.057864781872746615
os,0.057864781872746615
動画,0.05764569028962182
格安,0.05726980340677862
容量,0.05603074270214711
操作,0.055243786527554246
必要,0.05502612989406731
電池,0.05483973603228896
商品,0.05409348362467634
フィルム,0.053689651650288536
cpu,0.05341364480561226
メモリ,0.05341364480561226
利用,0.053160837355285366
満足,0.053160837355285366
ボタン,0.05285919122844067
bluetooth,0.05211054424880946
電波,0.05211054424880946
ストレージ,0.05118807627204508
to,0.05074482357930304
ケース,0.05074482357930304
電話,0.05074482357930304
撮影,0.050531436847330385
追記,0.050362898547112456
レビュー,0.049430252277721486
カバー,0.04863045593016542
データ,0.04803273834116917
通知,0.04803273834116917
反応,0.04798476902825284
防水,0.04798476902825284
可能,0.04756495973893954
au,0.04673693920491073
ドコモ,0.046185325328047276
そう,0.0456996672001576
本体,0.0456996672001576
表示,0.045458904456458976
十分,0.04476702093076663
動作,0.044435219598250156
電源,0.044435219598250156
アップデート,0.044337912314925385
wifi,0.044215007241414084
サブ,0.044215007241414084
液晶,0.044215007241414084
画質,0.04387178882583117
it,0.04383437466137566
普通,0.04383437466137566
程度,0.04383437466137566
感じ,0.04290172839198468
製品,0.04290172839198468
5900,0.04228580213777637
lite,0.04228580213777637
microsd,0.04228580213777637
綺麗,0.04196908212259371
huawei,0.0400602336042092
wi,0.039477685036976864
gps,0.03879567327555971
plus,0.03879567327555971
fi,0.03789857763549779
docomo,0.03783466507064202
umidigi,0.03783466507064202
値段,0.03730585077563885
時間,0.03730585077563885
google,0.036948260262437825
以上,0.03637320450624788
回線,0.036319470234018714
usb,0.035645828420987825
それ,0.03544055823685691
サイズ,0.03544055823685691
メーカー,0.03544055823685691
asus,0.035100847249315933
que,0.035100847249315933
ペン,0.035100847249315933
is,0.03488706621077084
メール,0.03482760454997985
line,0.03474036283253964
power,0.03474036283253964
youtube,0.03474036283253964
自分,0.03357526569807497
非常,0.03357526569807497
uq,0.03338352800350766
el,0.03325343423619404
ガラケー,0.03325343423619404
音量,0.03316125543106056
10,0.032642619428683996
あと,0.031709973159293026
こちら,0.031709973159293026
初期,0.031709973159293026
最初,0.031709973159293026
状態,0.031709973159293026
フォン,0.03158214802958149
セール,0.030003040628102415
ネット,0.029844680620511085
以外,0.029844680620511085
my,0.029601147087926775
gimbal,0.028932390936373308
評価,0.028912034351120112
max,0.028790861416951703
イヤ,0.028790861416951703
登録,0.028790861416951703
デザイン,0.02797938808172914
故障,0.027621893263777123
場合,0.02704674181233817
スピーカー,0.026844825825144268
ポケット,0.026844825825144268
入力,0.026844825825144268
lo,0.02670682240280613
スロット,0.02670682240280613
防塵,0.02670682240280613
携帯,0.026429595614220334
for,0.026114095542947198
部分,0.026114095542947198
通信,0.026048874615337256
速度,0.026048874615337256
mah,0.025863782183706472
this,0.02537241178965152
便利,0.02537241178965152
ホン,0.025265718423665193
落下,0.025265718423665193
接続,0.025219989501709544
以前,0.025181449273556228
安心,0.025181449273556228
ghz,0.024481253869238953
nova,0.024481253869238953
phone,0.024481253869238953
softbank,0.024481253869238953
サイフケータイ,0.024481253869238953
着信,0.024481253869238953
耐衝撃,0.024481253869238953
メイン,0.024248803004165254
on,0.024019037620675757
スマート,0.024019037620675757
日本語,0.024019037620675757
me,0.023686611022186117
サポート,0.023686611022186117
持ち,0.023686611022186117
音質,0.023686611022186117
付属,0.023316156734774284
日本,0.023316156734774284
保護,0.023306887813722806
認識,0.023306887813722806
2020,0.02281808573964197
20,0.022383510465383314
みたい,0.022383510465383314
ストレス,0.022383510465383314
タイプ,0.022383510465383314
変更,0.022383510465383314
残念,0.022383510465383314
antutu,0.022255685335671776
タップ,0.022255685335671776
with,0.022200860315945082
位置,0.022200860315945082
最大,0.022200860315945082
カク,0.022168956157462692
32,0.022107503620707042
端子,0.022107503620707042
音楽,0.022107503620707042
動き,0.021935894412915585
解像度,0.021935894412915585
30,0.02145086419599234
コス,0.02145086419599234
