ウォータークーラー,tfidf
ウォーター,0.5606847315685661
クーラー,0.5125885321091753
冷水,0.3376166125574161
直結,0.21703925092976753
水道,0.21101038284838508
工業,0.14469283395317836
西山,0.14469283395317836
業務,0.12426388657192128
mf,0.11390856269092783
sd,0.09837557686943768
18,0.09604815301768282
卓上,0.08802025298844425
mm,0.08621064960501515
専用,0.08189533949046778
51,0.0783752850579716
パナソニック,0.0783752850579716
メーカー,0.06978957348977417
洗浄,0.06631754889520675
185,0.06028868081382431
ホシザキ,0.06028868081382431
厨房,0.06028868081382431
東芝,0.05695428134546392
直送,0.05695428134546392
送料,0.05441685413455386
奥行,0.05425981273244188
保証,0.053015776073699415
panasonic,0.04823094465105945
無料,0.047614747367734626
at,0.04573721572270611
30,0.04306963935748781
rw,0.04220207656967701
sa,0.04220207656967701
wg,0.04220207656967701
寸法,0.04220207656967701
日立,0.04220207656967701
型式,0.036243633583477035
サーバー,0.03617320848829459
ディスペンサー,0.03617320848829459
パナソニックウォータークーラー,0.03617320848829459
引き,0.03617320848829459
引不可,0.03617320848829459
105,0.032016051005894275
用品,0.03106597164298032
205,0.030144340406912155
nwc,0.030144340406912155
トミ,0.030144340406912155
ナカ,0.030144340406912155
置形,0.030144340406912155
300,0.02978012345107919
タイプ,0.028067175568429102
自動,0.027442329433623666
不可,0.02719121500659393
タンク,0.0258883097024836
方式,0.0258883097024836
ガロン,0.024115472325529724
サンヨー,0.024115472325529724
専門,0.024115472325529724
調理,0.024115472325529724
12,0.0229704743239935
450,0.020710647761986882
切替,0.020710647761986882
家電,0.020710647761986882
100,0.02009916503349431
機器,0.018294886289082442
145,0.018086604244147295
458,0.018086604244147295
560,0.018086604244147295
bpk,0.018086604244147295
gallon,0.018086604244147295
hwg,0.018086604244147295
jij,0.018086604244147295
le,0.018086604244147295
サー,0.018086604244147295
タイガー,0.018086604244147295
トレーディング,0.018086604244147295
メイチョー,0.018086604244147295
モス,0.018086604244147295
喫茶,0.018086604244147295
星崎,0.018086604244147295
見積,0.018086604244147295
保冷,0.01553298582149016
商品,0.014890061725539595
中古,0.014356546452495936
19,0.013721164716811833
ステンレス,0.013721164716811833
ポータブル,0.013721164716811833
高性能,0.013721164716811833
ボトル,0.012315807086430736
ヶ月,0.012315807086430736
0592231,0.012057736162764862
625,0.012057736162764862
8001,0.012057736162764862
bh,0.012057736162764862
euo,0.012057736162764862
igloo,0.012057736162764862
roller,0.012057736162764862
rwf,0.012057736162764862
sdp,0.012057736162764862
sport,0.012057736162764862
お茶,0.012057736162764862
イグルー,0.012057736162764862
ウォータージャグ,0.012057736162764862
キャプテン,0.012057736162764862
クーラーボックスウォータージャグ,0.012057736162764862
サマー,0.012057736162764862
スタッグ,0.012057736162764862
テンポス,0.012057736162764862
ドリンク,0.012057736162764862
ドリンククーラースポーツローラー,0.012057736162764862
ビバレッジディスペンサー,0.012057736162764862
ピッチャー,0.012057736162764862
プッシュ,0.012057736162764862
冷温,0.012057736162764862
割引,0.012057736162764862
手動,0.012057736162764862
未定,0.012057736162764862
法人,0.012057736162764862
温水,0.012057736162764862
納期,0.012057736162764862
自社,0.012057736162764862
35,0.010355323880993441
600,0.010355323880993441
kk,0.010355323880993441
ms,0.010355323880993441
pm,0.010355323880993441
smtb,0.010355323880993441
アメリカ,0.010355323880993441
セール,0.010355323880993441
売れ筋,0.010355323880993441
本格,0.010355323880993441
電気,0.010355323880993441
楽天,0.010196705627472723
10,0.00980013898849253
15,0.009355725189476367
在庫,0.009355725189476367
限定,0.009355725189476367
アウトドア,0.009147443144541221
限り,0.009147443144541221
価格,0.008210538057620492
種類,0.008210538057620492
500,0.0074450308627697975
人気,0.0074450308627697975
20,0.006797803751648483
新品,0.006237150126317578
0038,0.006028868081382431
0995003203,0.006028868081382431
127,0.006028868081382431
146,0.006028868081382431
1810,0.006028868081382431
190731,0.006028868081382431
2009,0.006028868081382431
2011,0.006028868081382431
2095,0.006028868081382431
217,0.006028868081382431
220901,0.006028868081382431
2227,0.006028868081382431
226,0.006028868081382431
252,0.006028868081382431
330,0.006028868081382431
345,0.006028868081382431
376,0.006028868081382431
38,0.006028868081382431
5034,0.006028868081382431
52,0.006028868081382431
575,0.006028868081382431
578,0.006028868081382431
610,0.006028868081382431
62013,0.006028868081382431
947,0.006028868081382431
behr,0.006028868081382431
cactus,0.006028868081382431
cambro,0.006028868081382431
cooler,0.006028868081382431
depot,0.006028868081382431
dispenser,0.006028868081382431
drink,0.006028868081382431
dspr,0.006028868081382431
ea,0.006028868081382431
ecj,0.006028868081382431
hella,0.006028868081382431
home,0.006028868081382431
hz,0.006028868081382431
ids,0.006028868081382431
jig,0.006028868081382431
logo,0.006028868081382431
pd,0.006028868081382431
pe,0.006028868081382431
rubbermaid,0.006028868081382431
sdb,0.006028868081382431
srm,0.006028868081382431
toshiba,0.006028868081382431
water,0.006028868081382431
xa,0.006028868081382431
カクタス,0.006028868081382431
カーライル,0.006028868081382431
キャンブロ,0.006028868081382431
クーペ,0.006028868081382431
クール,0.006028868081382431
コンプレッサー,0.006028868081382431
サボテン,0.006028868081382431
シングル,0.006028868081382431
ニューコロンブスポット,0.006028868081382431
