パンを焼く,tfidf
パン,0.7576406191496754
見習い,0.21267105098938258
錬金術,0.21267105098938258
工房,0.19273313995912794
採取,0.19273313995912794
酵母,0.18608716961570973
生活,0.1663819771962821
織部,0.14621134755520052
中古,0.11078236655448725
単行,0.0799069114407531
ジャン,0.07310567377760026
ソマリ,0.07310567377760026
フランソワ,0.07310567377760026
マリ,0.07310567377760026
ミレー,0.07310567377760026
油絵,0.07310567377760026
絵画,0.07310567377760026
複製,0.07310567377760026
国産,0.06645970343418205
小麦,0.06645970343418205
サイズ,0.06335666030257206
ぁん,0.05981373309076385
ヨーグルト,0.05981373309076385
協会,0.05981373309076385
文化,0.05981373309076385
漁村,0.05981373309076385
竹野,0.05981373309076385
豊子,0.05981373309076385
農山,0.05981373309076385
発酵,0.05136872878334128
アリ,0.04652179240392743
アン,0.04652179240392743
バーミキュラ,0.04652179240392743
失敗,0.04652179240392743
知らず,0.04652179240392743
額縁,0.04652179240392743
自然,0.045376902871713296
無料,0.04499013669048033
送料,0.04499013669048033
mm,0.04072928162308204
インテリア,0.040335024774856267
入り,0.040335024774856267
ローズ,0.03995345572037655
こだま,0.039875822060509235
ごはん,0.039875822060509235
せつ子,0.039875822060509235
にんじん,0.039875822060509235
堀田,0.039875822060509235
大塚,0.039875822060509235
宥厳,0.039875822060509235
山内,0.039875822060509235
白神,0.039875822060509235
銅板,0.039875822060509235
以上,0.03693189856429072
壁掛け,0.03620380588718404
天然,0.03424581918889419
油彩,0.03322985171709102
afb,0.030251268581142198
3000,0.02853818265741182
合計,0.02853818265741182
メール,0.028486894256868154
727,0.026583881373672822
りんご,0.026583881373672822
クープ,0.026583881373672822
ノベル,0.026583881373672822
レシピ,0.026583881373672822
農文協,0.026583881373672822
雅子,0.026583881373672822
雑誌,0.026583881373672822
高橋,0.026583881373672822
書籍,0.025209390484285162
530,0.022830546125929458
安全,0.022830546125929458
ネコポス,0.022627378679490023
出荷,0.020517721424605957
宅配,0.020517721424605957
606,0.019937911030254617
オーブン,0.019937911030254617
デニッシュ,0.019937911030254617
フロンティア,0.019937911030254617
ワークス,0.019937911030254617
主婦,0.019937911030254617
主婦の友社,0.019937911030254617
久美,0.019937911030254617
塚本,0.019937911030254617
文庫,0.019937911030254617
講談社,0.019937911030254617
1000,0.01810190294359202
著者,0.017122909594447094
カバー,0.016414177139684766
ソフト,0.016414177139684766
20,0.01498722530464572
対応,0.01460691744668416
発送,0.01460691744668416
15,0.013751143401183438
新品,0.013751143401183438
90,0.013576427207694013
あす,0.01350407576507361
455,0.013291940686836411
652,0.013291940686836411
mugi,0.013291940686836411
イラスト,0.013291940686836411
キャンバス,0.013291940686836411
サクッ,0.013291940686836411
トースター,0.013291940686836411
丹波,0.013291940686836411
作り,0.013291940686836411
全巻,0.013291940686836411
山奥,0.013291940686836411
年齢,0.013291940686836411
豪華,0.013291940686836411
魔法,0.013291940686836411
30,0.012660841891941402
ライト,0.012660841891941402
910,0.011415273062964729
hi,0.011415273062964729
その他,0.011415273062964729
ショップ,0.011415273062964729
向け,0.011415273062964729
家庭,0.011415273062964729
シリーズ,0.011240418978484289
10,0.010803260612058887
ステンレス,0.010083756193714067
ハード,0.010083756193714067
予約,0.010083756193714067
女性,0.00905095147179601
セット,0.008102445459044165
限定,0.006875571700591719
kumi,0.0066459703434182055
marna,0.0066459703434182055
tsukamoto,0.0066459703434182055
お家,0.0066459703434182055
くるみ,0.0066459703434182055
アップルデニッシュ,0.0066459703434182055
クス,0.0066459703434182055
チョコデニッシュ,0.0066459703434182055
トーストスチーマー,0.0066459703434182055
ハムデニッシュ,0.0066459703434182055
フランス,0.0066459703434182055
フロンティアワ,0.0066459703434182055
マーナ,0.0066459703434182055
人生,0.0066459703434182055
冷凍,0.0066459703434182055
動画,0.0066459703434182055
四季,0.0066459703434182055
毎日,0.0066459703434182055
熟成,0.0066459703434182055
理由,0.0066459703434182055
生地,0.0066459703434182055
百合子,0.0066459703434182055
相田,0.0066459703434182055
紹介,0.0066459703434182055
自家製,0.0066459703434182055
連結,0.0066459703434182055
道具,0.0066459703434182055
食材,0.0066459703434182055
12,0.006330420945970701
270,0.0057076365314823645
ムック,0.0057076365314823645
世界,0.0057076365314823645
旅行,0.0057076365314823645
付き,0.005401630306029443
70,0.005041878096857033
シンプル,0.005041878096857033
電子,0.005041878096857033
プロ,0.004525475735898005
種類,0.004525475735898005
500,0.0041035442849211914
00,0.0
000,0.0
00029,0.0
001,0.0
003,0.0
0038,0.0
005,0.0
00987602,0.0
01,0.0
01489,0.0
01564,0.0
0173,0.0
02,0.0
021,0.0
022,0.0
03,0.0
04,0.0
05,0.0
050704,0.0
050883,0.0
052,0.0
053511,0.0
0592231,0.0
06,0.0
0604,0.0
062,0.0
063,0.0
0640,0.0
07,0.0
08,0.0
08324,0.0
088,0.0
089,0.0
090,0.0
